"Kreis","wa_2","tot","one","multi","circ","year2"
"Stadt Jena",1419,1419,661,45,713,2019
"Stadt Suhl",234,234,234,NA,NA,2019
"Stadt Weimar",NA,NA,NA,NA,NA,2019
"Stadt Eisenach",391,391,206,10,175,2019
"Eichsfeld",922,922,875,NA,47,2019
"Nordhausen",4969,4955,3519,94,1342,2019
"Wartburgkreis",11820,11276,9142,1397,737,2019
"Unstrut-Hainich-Kreis",1144,1036,996,15,25,2019
"Kyffhäuserkreis",315,315,169,NA,145,2019
"Schmalkalden-Meiningen",3021,3013,1766,1195,52,2019
"Gotha",1699,1698,1218,91,389,2019
"Sömmerda",2150,1650,1048,5,597,2019
"Hildburghausen",301,284,237,11,36,2019
"Ilm-Kreis",457,457,416,NA,42,2019
"Weimarer Land",689,689,681,3,5,2019
"Sonneberg",376,360,320,NA,40,2019
"Saalfeld-Rudolstadt",9494,9483,4843,606,4034,2019
"Saale-Holzland-Kreis",719,717,388,5,324,2019
"Saale-Orla-Kreis",10281,10277,623,9614,41,2019
"Greiz",9716,4085,2427,1491,168,2019
"Altenburger Land",2412,2412,874,7,1531,2019
