"Kreis","bet_no","wa","eigeng","fremdb","public","andbet","year","mean_temp","gva_ind_be","gva_ind_bf","wa_b","log_wa_b","log_gva","YoYWA","TC_WA","WI","TC_WI","wa_2","tot","one","multi","circ"
"Saale0Holzland-Kreis",12,691,476,215,212,3,"2010",7.2,355,479,57.58333333,4.053233174,5.872117789,-7.372654155,0,1.442588727,6.405771631,691,677,461,12,205
"Saale0Holzland-Kreis",19,818,441,376,376,0,"2013",8.08,436,570,43.05263158,3.762423357,6.077642243,18.37916064,-100,1.435087719,0.519968518,813,793,591,10,192
"Saale0Holzland-Kreis",16,640,287,353,353,0,"2016",9.03,448,596,40,3.688879454,6.104793232,-21.7603912,NA,1.073825503,25.17352849,637,632,405,5,222
"Saale0Holzland-Kreis",16,722,379,343,343,0,"2019",9.78,474,648,45.125,3.809436417,6.161207322,12.8125,NA,1.114197531,-3.759645062,719,717,388,5,324
"Saale0Orla-Kreis",18,11150,11050,101,101,0,"2004",8.29,544,644,619.4444444,6.428823019,6.298949247,NA,NA,17.3136646,NA,11150.285,11136.356,9462.168,7.358,1666.83
"Saale0Orla-Kreis",23,11480,11212,269,269,0,"2007",9.28,575,691,499.1304348,6.212867454,6.354370041,2.959641256,NA,16.61360347,4.043402361,11480,11321,9955,1338,28
"Saale0Orla-Kreis",18,10834,10566,268,268,0,"2010",7.2,647,767,601.8888889,6.400072858,6.472346295,-5.6271777,NA,14.12516297,14.97833089,10834,10713,9677,1002,34
"Saale0Orla-Kreis",17,10885,10610,274,263,11,"2013",8.08,716,857,640.2941176,6.46192763,6.573680167,0.470740262,Inf,12.70128355,10.080446,10885,10874,10842,26,7
"Saale0Orla-Kreis",18,11103,10791,312,312,0,"2016",9.03,752,913,616.8333333,6.424598863,6.622736324,2.002756086,-100,12.16100767,4.253710881,11099,11099,11066,31,2
"Saale0Orla-Kreis",19,10282,9993,289,289,0,"2019",9.78,810,984,541.1578947,6.293711093,6.697034248,-7.39439791,NA,10.44918699,14.07630619,10281,10277,623,9614,41
