"Kreis","bet_no","wa","eigeng","fremdb","public","andbet","year","mean_temp","gva_ind_be","gva_ind_bf","wa_b","log_wa_b","log_gva","YoYWA","TC_WA","WI","TC_WI","wa_2","tot","one","multi","circ","summer_TMK","summer_TXK","hot_days25","hot_days30","wa_3","cooling","log_gva_2010","log_gva_std","log_cooling"
"Kyffhäuserkreis",7,290,223,68,68,0,"2010",7.2,251,335,41.42857143,3.723970774,5.525452939,-17.37891738,NA,0.865671642,21.07836884,290,290,222,0,69,18.0486495447319,24.0439194031988,36,10,"290",20,5.525452939,0,2.99573227355399
"Kyffhäuserkreis",9,329,220,109,109,0,"2013",8.08,315,407,36.55555556,3.598833173,5.752572639,13.44827586,NA,0.808353808,6.621198001,329,329,228,24,77,17.9332991268818,24.1016552098129,37,13,"329",2,5.525452939,0.2271197,0.693147180559945
"Kyffhäuserkreis",8,278,248,30,30,0,"2016",9.03,355,449,34.75,3.548179572,5.872117789,-15.50151976,NA,0.619153675,23.40560922,278,278,175,62,41,18.4417634515504,24.5198795943415,48,12,"278",1,5.525452939,0.34666485,0
"Kyffhäuserkreis",8,315,293,22,22,0,"2019",9.78,398,495,39.375,3.673131097,5.986452005,13.30935252,NA,0.636363636,-2.779594506,315,315,169,0,145,19.6873593710012,26.5057296755796,60,20,"315",2,5.525452939,0.460999066,0.693147180559945
"Nordhausen",11,3562,3424,137,137,0,"2010",7.2,340,452,323.8181818,5.780182191,5.828945618,-21.71428571,-100,7.880530973,30.20101138,3562,3476,3252,173,51,17.3135367573993,23.00799693884,29,9,"3476",2369,5.828945618,0,7.77022320415879
"Nordhausen",13,4056,3813,244,244,0,"2013",8.08,433,588,312,5.743003188,6.070737728,13.86861314,NA,6.897959184,12.468345,3967,3967,3898,41,28,17.1381809775452,22.9871485927303,26,9,"3967",2578,5.828945618,0.24179211,7.85476918349913
"Nordhausen",14,5521,5240,281,281,0,"2016",9.03,520,691,394.3571429,5.977256953,6.253828812,36.11932939,NA,7.989869754,-15.82947276,5422,5422,4113,41,1269,17.5919613033125,23.2591903426967,40,10,"5422",4010,5.828945618,0.424883194,8.29654652030061
"Nordhausen",15,5059,4629,430,430,0,"2019",9.78,542,685,337.2666667,5.820873913,6.295266001,-8.368049266,NA,7.38540146,7.56543364,4969,4955,3519,94,1342,18.658964356547,24.939664200317,43,14,"4955",3129,5.828945618,0.466320383,8.04846874366888
"Sömmerda",16,2235,1679,557,317,239,"2010",7.2,312,418,139.6875,4.939407785,5.743003188,-16.26077182,Inf,5.346889952,-4.77420176,2235,2012,1886,69,57,19.0704343334616,25.4189271229728,48,18,"2012",79,5.743003188,0,4.36944785246702
"Sömmerda",21,1914,1429,485,375,110,"2013",8.08,456,569,91.14285714,4.512428134,6.12249281,-14.36241611,-53.9748954,3.363796134,37.0887345,1799,1799,731,32,1036,19.0025238040673,25.6062918944323,60,18,"1799",73,5.743003188,0.379489622,4.29045944114839
"Sömmerda",18,2117,1434,683,490,193,"2016",9.03,531,650,117.6111111,4.767383513,6.274762021,10.60606061,75.45454545,3.256923077,3.177156177,1939,1939,896,11,1033,19.5500588302791,26.0743338473972,66,22,"1939",72,5.743003188,0.531758833,4.27666611901606
"Sömmerda",19,2374,1597,777,554,222,"2019",9.78,623,754,124.9473684,4.827892596,6.434546519,12.1398205,15.02590674,3.148541114,3.327740948,2150,1650,1048,5,597,20.814908998677,28.1988515330228,78,31,"1650",81,5.743003188,0.691543331,4.39444915467244
"Sonneberg",10,500,380,121,121,0,"2010",7.2,489,551,50,3.912023005,6.192362489,20.19230769,NA,0.907441016,-6.013541812,500,388,269,0,119,16.1679620568666,21.445426001025,24,7,"388",62,6.192362489,0,4.12713438504509
"Sonneberg",12,477,384,93,93,0,"2013",8.08,575,633,39.75,3.682609841,6.354370041,-4.6,NA,0.753554502,16.95829384,475,355,310,0,45,16.3184438723045,21.8946106109134,28,6,"355",31,6.192362489,0.162007552,3.43398720448515
"Sonneberg",11,343,262,81,81,0,"2016",9.03,604,677,31.18181818,3.439835174,6.403574198,-28.09224319,NA,0.506646972,32.7657163,341,321,281,0,40,16.1730849709227,21.5593433908706,23,4,"321",65,6.192362489,0.211211709000001,4.17438726989564
"Sonneberg",10,378,294,84,84,0,"2019",9.78,637,711,37.8,3.632309103,6.456769656,10.20408163,NA,0.53164557,-4.934125549,376,360,320,0,40,18.0775422162729,24.3482357915591,39,8,"360",23,6.192362489,0.264407167,3.13549421592915
"Stadt Eisenach",3,714,NA,NA,NA,0,"2010",7.2,354,403,238,5.472270674,5.869296913,-11.08343711,-100,1.771712159,-38.11853193,714,388,23,0,365,17.6090128861214,23.3505228558473,33,9,"388",60,5.869296913,0,4.0943445622221
"Stadt Eisenach",5,613,537,76,73,3,"2013",8.08,380,433,122.6,4.808927024,5.940171253,-14.14565826,Inf,1.415704388,20.09399603,383,383,215,0,168,17.4375448488824,23.2924443777,30,10,"383",37,5.869296913,0.0708743399999996,3.61091791264422
"Stadt Eisenach",6,501,378,123,123,0,"2016",9.03,666,736,83.5,4.424846632,6.501289671,-18.27079935,-100,0.680706522,51.91746755,478,478,360,38,80,17.761749618111,23.4071999073532,43,10,"478",49,5.869296913,0.631992758,3.89182029811063
"Stadt Eisenach",6,390,270,120,120,0,"2019",9.78,525,588,65,4.17438727,6.263398263,-22.15568862,NA,0.663265306,2.562222494,391,391,206,10,175,18.8003496242965,25.264014989838,49,17,"391",116,5.869296913,0.39410135,4.75359019110636
"Stadt Erfurt",22,2319,1180,1139,1098,42,"2010",7.2,704,1019,105.4090909,4.657848884,6.556778356,-5.96107056,-63.47826087,2.27576055,5.407357531,2319,2259,1921,102,235,18.068156065212,23.8369157790555,38,9,"2259",73,6.556778356,0,4.29045944114839
"Stadt Erfurt",30,2356,1117,1239,1209,30,"2013",8.08,783,1111,78.53333333,4.363523163,6.663132696,1.595515308,-28.57142857,2.120612061,6.817434654,2304,2299,1881,207,212,17.97418562358,23.9952439010776,37,14,"2299",88,6.556778356,0.10635434,4.47733681447821
"Stadt Erfurt",31,2883,1280,1603,1556,47,"2016",9.03,761,1157,93,4.532599493,6.634633358,22.36842105,56.66666667,2.49178911,-17.503298,2796,2791,2388,216,187,18.3992189381651,24.2929528197127,47,13,"2791",164,6.556778356,0.0778550020000006,5.0998664278242
